/Users/tigran/workspace/dwg_parser/codes/parser.py:397: SyntaxWarning: invalid escape sequence '\P'
elem: name=S07_A01KSY9NXE layer=ADE_ET_SIBE_Wand text= ins=(1298.956690341789, 916.0912053209863, 0.0) matrix=(-1276.9536650180098, -1402.2341647250728)
elem: name=Schaltkreis_A01KSY9OXE layer=ADE_ET_SIBE_Wand-TXT text= ins=(1287.580941719647, 912.9067787830181, 0.0) matrix=(-1276.9536650180103, -1402.2341647250723)
  * MTEXT None layer=0 text='US03-3-01-02 ' ins=(1287.580941719647, 914.346778768514, 0.0) img_pos=(6812.91221888459, 2098.1230973452593)
elem: name=Schaltkreis_A01KSY9PXE layer=ADE_ET_SIBE_Wand-TXT text= ins=(1295.935028343235, 914.7696587642554, 0.0) matrix=(-1276.9536650180103, -1402.2341647250728)
  * MTEXT None layer=0 text='S07 ' ins=(1295.935028343235, 916.2096587497513, 0.0) img_pos=(6862.166521269461, 2087.17699446828)
elem: name=S07_A01KSY9QXE layer=ADE_ET_SIBE_Wand text= ins=(759.7623144152224, 461.0258165151599, 0.0) matrix=(-1276.9536650180114, -1402.2341647250735)
elem: name=Schaltkreis_A01KSY9RXE layer=ADE_ET_SIBE_Wand-TXT text= ins=(754.3495364697403, 458.7858165377213, 0.0) matrix=(-1276.9536650180114, -1402.2341647250737)
  * MTEXT None layer=0 text='US03-2-02-05 ' ins=(754.3495364697403, 460.2258165232174, 0.0) img_pos=(3669.0687254335867, 4773.310209787947)
elem: name=Schaltkreis_A01KSY9SXE layer=ADE_ET_SIBE_Wand-TXT text= ins=(756.3310524497824, 461.0486965149296, 0.0) matrix=(-1276.9536650180114, -1402.2341647250732)
  * MTEXT None layer=0 text='S07 ' ins=(756.3310524497824, 462.48869650042593, 0.0) img_pos=(3680.7514133992468, 4759.976717359559)
elem: name=S07_A01KSY9TXE layer=ADE_ET_SIBE_Wand text= ins=(543.1422319665269, 460.7339558635972, 0.0) matrix=(-1276.953665018012, -1402.2341647250735)
elem: name=Schaltkreis_A01KSY9UXE layer=ADE_ET_SIBE_Wand-TXT text= ins=(537.9813790185074, 457.6910758942449, 0.0) matrix=(-1276.9536650180119, -1402.2341647250737)
  * MTEXT None layer=0 text='US02-2-01-02 ' ins=(537.9813790185074, 459.1310758797413, 0.0) img_pos=(2393.398130461671, 4778.783997348044)
